pair,first_valid_open,last_valid_open,applicable_start,applicable_end,expected_applicable_pair_days,covered_pair_days,missing_pair_days,coverage_ratio,p0b_missing_calendar_day_count,documented_inactivity_boundary,boundary_status
FTT-USDT,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,1195,0,1.0,0,True,EXACT_FULL_HISTORY
GAFI-USDT,2021-12-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1113,1113,0,1.0,0,True,EXACT_FULL_HISTORY
GALAX-USDT,2021-08-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-08-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1237,1237,0,1.0,0,True,EXACT_FULL_HISTORY
GAS-USDT,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1398,1398,0,1.0,0,True,EXACT_FULL_HISTORY
GHX-USDT,2021-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1343,1343,0,1.0,0,True,EXACT_FULL_HISTORY
GLM-USDT,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1140,1140,0,1.0,0,True,EXACT_FULL_HISTORY
GLMR-USDT,2022-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1086,1086,0,1.0,0,True,EXACT_FULL_HISTORY
GLQ-USDT,2021-05-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1324,1324,0,1.0,0,True,EXACT_FULL_HISTORY
GMEE-USDT,2021-06-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-06-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1302,1302,0,1.0,0,True,EXACT_FULL_HISTORY
GMT-USDT,2022-03-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-03-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1020,1020,0,1.0,0,True,EXACT_FULL_HISTORY
GMX-USDT,2022-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,810,810,0,1.0,0,True,EXACT_FULL_HISTORY
GODS-USDT,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1129,1129,0,1.0,0,True,EXACT_FULL_HISTORY
GRAM-USDT,2022-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,797,797,0,1.0,0,True,EXACT_FULL_HISTORY
GRT-USDT,2020-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1475,1475,0,1.0,0,True,EXACT_FULL_HISTORY
GRT2L-USDT,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,188,0,1.0,0,True,EXACT_FULL_HISTORY
GRT2S-USDT,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,188,0,1.0,0,True,EXACT_FULL_HISTORY
GTC-USDT,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1210,1210,0,1.0,0,True,EXACT_FULL_HISTORY
HAI-USDT,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1350,1350,0,1.0,0,True,EXACT_FULL_HISTORY
HBAR-USDT,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,1205,0,1.0,0,True,EXACT_FULL_HISTORY
HEART-USDT,2021-12-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1115,1115,0,1.0,0,True,EXACT_FULL_HISTORY
HFT-USDT,2022-11-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-11-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,786,786,0,1.0,0,True,EXACT_FULL_HISTORY
HIGH-USDT,2023-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,693,693,0,1.0,0,True,EXACT_FULL_HISTORY
HMND-USDT,2023-03-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,643,643,0,1.0,0,True,EXACT_FULL_HISTORY
HNT-USDT,2022-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1092,1092,0,1.0,0,True,EXACT_FULL_HISTORY
HTR-USDT,2021-01-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-01-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1458,1458,0,1.0,0,True,EXACT_FULL_HISTORY
HYDRA-USDT,2021-01-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-01-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1448,1448,0,1.0,0,True,EXACT_FULL_HISTORY
ICP-USDT,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1331,1331,0,1.0,0,True,EXACT_FULL_HISTORY
ICX-USDT,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,929,0,1.0,0,True,EXACT_FULL_HISTORY
ID-USDT,2023-03-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,651,651,0,1.0,0,True,EXACT_FULL_HISTORY
ILV-USDT,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,1195,0,1.0,0,True,EXACT_FULL_HISTORY
IMX-USDT,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1129,1129,0,1.0,0,True,EXACT_FULL_HISTORY
INJ-USDT,2021-10-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1169,1169,0,1.0,0,True,EXACT_FULL_HISTORY
INSP-USDT,2023-12-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,392,392,0,1.0,0,True,EXACT_FULL_HISTORY
IOST-USDT,2021-03-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1379,1379,0,1.0,0,True,EXACT_FULL_HISTORY
IOTA-USDT,2021-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1097,1097,0,1.0,0,True,EXACT_FULL_HISTORY
ISLM-USDT,2023-10-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-10-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,449,449,0,1.0,0,True,EXACT_FULL_HISTORY
ISP-USDT,2021-11-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1153,1153,0,1.0,0,True,EXACT_FULL_HISTORY
JASMY-USDT,2021-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1162,1162,0,1.0,0,True,EXACT_FULL_HISTORY
JST-USDT,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1609,1609,0,1.0,0,True,EXACT_FULL_HISTORY
JTO-USDT,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,391,391,0,1.0,0,True,EXACT_FULL_HISTORY
KACE-USDT,2024-01-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,355,355,0,1.0,0,True,EXACT_FULL_HISTORY
KAS-USDT,2023-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,606,606,0,1.0,0,True,EXACT_FULL_HISTORY
KAVA-USDT,2021-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1134,1134,0,1.0,0,True,EXACT_FULL_HISTORY
KCS-USDT,2017-10-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2168,24,0.9890510948905109,78,True,EXACT_FULL_HISTORY
KLV-USDT,2021-02-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1426,1426,0,1.0,0,True,EXACT_FULL_HISTORY
KNC-USDT,2022-04-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,981,981,0,1.0,0,True,EXACT_FULL_HISTORY
KPOL-USDT,2020-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1727,1727,0,1.0,0,True,EXACT_FULL_HISTORY
KRL-USDT,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1387,1387,0,1.0,0,True,EXACT_FULL_HISTORY
KSM-USDT,2020-02-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-02-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1785,1785,0,1.0,0,True,EXACT_FULL_HISTORY
LADYS-USDT,2023-05-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,590,590,0,1.0,0,True,EXACT_FULL_HISTORY
LDO-USDT,2022-07-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-07-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,908,908,0,1.0,0,True,EXACT_FULL_HISTORY
LIKE-USDT,2021-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1135,1135,0,1.0,0,True,EXACT_FULL_HISTORY
LINK-USDT,2020-08-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1595,1595,0,1.0,0,True,EXACT_FULL_HISTORY
LMWR-USDT,2023-05-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,596,596,0,1.0,0,True,EXACT_FULL_HISTORY
LOCUS-USDT,2023-04-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,621,621,0,1.0,0,True,EXACT_FULL_HISTORY
LPT-USDT,2021-06-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-06-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1281,1281,0,1.0,0,True,EXACT_FULL_HISTORY
LQTY-USDT,2023-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,657,657,0,1.0,0,True,EXACT_FULL_HISTORY
LRC-USDT,2021-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1428,1428,0,1.0,0,True,EXACT_FULL_HISTORY
LSK-USDT,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,404,404,0,1.0,0,True,EXACT_FULL_HISTORY
LTC-USDT,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2173,19,0.9913321167883211,77,True,EXACT_FULL_HISTORY
LUNA-USDT,2022-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,949,949,0,1.0,0,True,EXACT_FULL_HISTORY
LUNC-USDT,2022-05-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,951,951,0,1.0,0,True,EXACT_FULL_HISTORY
LYX-USDT,2023-07-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-07-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,527,527,0,1.0,0,True,EXACT_FULL_HISTORY
MAGIC-USDT,2023-01-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-01-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,715,715,0,1.0,0,True,EXACT_FULL_HISTORY
MAN-USDT,2021-04-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,1365,1365,0,1.0,0,True,EXACT_FULL_HISTORY
MANA-USDT,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1386,1386,0,1.0,0,True,EXACT_FULL_HISTORY
MANTA-USDT,2024-01-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,349,349,0,1.0,0,True,EXACT_FULL_HISTORY
MAPO-USDT,2024-04-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-04-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,248,248,0,1.0,0,True,EXACT_FULL_HISTORY
MARS4-USDT,2022-02-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-02-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1038,1038,0,1.0,0,True,EXACT_FULL_HISTORY
MASK-USDT,2021-02-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1407,1407,0,1.0,0,True,EXACT_FULL_HISTORY
MAV-USDT,2023-06-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-06-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,553,553,0,1.0,0,True,EXACT_FULL_HISTORY
MBL-USDT,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,964,964,0,1.0,0,True,EXACT_FULL_HISTORY
MEME-USDT,2023-11-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,425,425,0,1.0,0,True,EXACT_FULL_HISTORY
METIS-USDT,2022-03-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-03-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1035,1035,0,1.0,0,True,EXACT_FULL_HISTORY
MINA-USDT,2023-03-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,665,665,0,1.0,0,True,EXACT_FULL_HISTORY
MLK-USDT,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1609,1609,0,1.0,0,True,EXACT_FULL_HISTORY
MNT-USDT,2023-11-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,398,398,0,1.0,0,True,EXACT_FULL_HISTORY
MONPRO-USDT,2024-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,219,219,0,1.0,0,True,EXACT_FULL_HISTORY
MOVR-USDT,2021-08-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-08-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1223,1223,0,1.0,0,True,EXACT_FULL_HISTORY
MTL-USDT,2021-08-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-08-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1238,1238,0,1.0,0,True,EXACT_FULL_HISTORY
MTRG-USDT,2021-11-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1156,1156,0,1.0,0,True,EXACT_FULL_HISTORY
MTV-USDT,2019-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2094,2094,0,1.0,0,True,EXACT_FULL_HISTORY
MYRIA-USDT,2023-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,636,636,0,1.0,0,True,EXACT_FULL_HISTORY
MYRO-USDT,2023-12-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,371,371,0,1.0,0,True,EXACT_FULL_HISTORY
NAKA-USDT,2021-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1174,1174,0,1.0,0,True,EXACT_FULL_HISTORY
NAVI-USDT,2022-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,764,764,0,1.0,0,True,EXACT_FULL_HISTORY
NEAR-USDT,2021-07-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-07-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1272,1272,0,1.0,0,True,EXACT_FULL_HISTORY
NEO-USDT,2017-11-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2172,20,0.9908759124087592,57,True,EXACT_FULL_HISTORY
NEON-USDT,2024-01-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,352,352,0,1.0,0,True,EXACT_FULL_HISTORY
NFP-USDT,2024-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,356,356,0,1.0,0,True,EXACT_FULL_HISTORY
NFT-USDT,2021-06-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-06-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1300,1300,0,1.0,0,True,EXACT_FULL_HISTORY
NIM-USDT,2020-09-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-09-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1559,1559,0,1.0,0,True,EXACT_FULL_HISTORY
NKN-USDT,2021-09-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1204,1204,0,1.0,0,True,EXACT_FULL_HISTORY
NMR-USDT,2021-09-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,1212,1212,0,1.0,0,True,EXACT_FULL_HISTORY
NUM-USDT,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1140,1140,0,1.0,0,True,EXACT_FULL_HISTORY
NXRA-USDT,2023-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,666,666,0,1.0,0,True,EXACT_FULL_HISTORY
NYM-USDT,2022-04-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,992,992,0,1.0,0,True,EXACT_FULL_HISTORY
OBI-USDT,2023-05-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,583,583,0,1.0,0,True,EXACT_FULL_HISTORY
OGN-USDT,2021-05-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1328,1328,0,1.0,0,True,EXACT_FULL_HISTORY
ONDO-USDT,2024-01-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,349,349,0,1.0,0,True,EXACT_FULL_HISTORY
ONE-USDT,2019-08-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-08-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1959,1959,0,1.0,0,True,EXACT_FULL_HISTORY
ONT-USDT,2018-09-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2145,47,0.978558394160584,133,True,EXACT_FULL_HISTORY
OORT-USDT,2024-06-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-06-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,197,197,0,1.0,0,True,EXACT_FULL_HISTORY
OP-USDT,2022-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,946,946,0,1.0,0,True,EXACT_FULL_HISTORY
OP2L-USDT,2023-02-08T00:00:00+00:00,2023-11-09T00:00:00+00:00,2023-02-08T00:00:00+00:00,2023-11-09T00:00:00+00:00,275,275,0,1.0,0,True,EXACT_FULL_HISTORY
OP2S-USDT,2023-02-08T00:00:00+00:00,2023-11-08T00:00:00+00:00,2023-02-08T00:00:00+00:00,2023-11-08T00:00:00+00:00,274,274,0,1.0,0,True,EXACT_FULL_HISTORY
ORAI-USDT,2021-02-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1408,1408,0,1.0,0,True,EXACT_FULL_HISTORY
ORBS-USDT,2021-03-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1377,1377,0,1.0,0,True,EXACT_FULL_HISTORY
ORCA-USDT,2024-01-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,355,355,0,1.0,0,True,EXACT_FULL_HISTORY
ORDI-USDT,2023-06-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-06-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,580,580,0,1.0,0,True,EXACT_FULL_HISTORY
OSMO-USDT,2023-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,719,719,0,1.0,0,True,EXACT_FULL_HISTORY
OTK-USDT,2023-04-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,630,630,0,1.0,0,True,EXACT_FULL_HISTORY
OVR-USDT,2022-04-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,979,979,0,1.0,0,True,EXACT_FULL_HISTORY
OXT-USDT,2021-09-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1206,1206,0,1.0,0,True,EXACT_FULL_HISTORY
P2P-USDT,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1192,1192,0,1.0,0,True,EXACT_FULL_HISTORY
PAXG-USDT,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1148,1148,0,1.0,0,True,EXACT_FULL_HISTORY
PENDLE-USDT,2023-07-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-07-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,548,548,0,1.0,0,True,EXACT_FULL_HISTORY
PEOPLE-USDT,2021-12-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1106,1106,0,1.0,0,True,EXACT_FULL_HISTORY
PEPE-USDT,2023-05-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,607,607,0,1.0,0,True,EXACT_FULL_HISTORY
PHA-USDT,2021-02-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1405,1405,0,1.0,0,True,EXACT_FULL_HISTORY
PIX-USDT,2022-09-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-09-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,834,834,0,1.0,0,True,EXACT_FULL_HISTORY
POKT-USDT,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,805,805,0,1.0,0,True,EXACT_FULL_HISTORY
POL-USDT,2023-11-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,419,419,0,1.0,0,True,EXACT_FULL_HISTORY
POLS-USDT,2021-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1307,1307,0,1.0,0,True,EXACT_FULL_HISTORY
POLYX-USDT,2023-12-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,379,379,0,1.0,0,True,EXACT_FULL_HISTORY
POND-USDT,2021-12-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1126,1126,0,1.0,0,True,EXACT_FULL_HISTORY
PROM-USDT,2021-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1315,1315,0,1.0,0,True,EXACT_FULL_HISTORY
PUNDIX-USDT,2021-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1363,1363,0,1.0,0,True,EXACT_FULL_HISTORY
PUSH-USDT,2021-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1177,1177,0,1.0,0,True,EXACT_FULL_HISTORY
PYR-USDT,2021-05-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1316,1316,0,1.0,0,True,EXACT_FULL_HISTORY
